plz_name;Spalte1;lan_name;geo_point_2d
Halle (Westfalen);33790;Nordrhein-Westfalen;52.0421950669,8.3303437136
Oppenheim;55276;Rheinland-Pfalz;49.8383720168,8.35298463433
Lüdenscheid;58507;Nordrhein-Westfalen;51.2306300589,7.62561979081
Münster;48147;Nordrhein-Westfalen;51.9776092153,7.63545305301
Fröndenberg/Ruhr;58730;Nordrhein-Westfalen;51.493046718,7.76066199645
Vinningen, Trulben, Ruppertsweiler u.a.;66957;Rheinland-Pfalz;49.1930157923,7.70442650295
Telgte;48291;Nordrhein-Westfalen;51.9939189715,7.78685106248
Hinterweidenthal;66999;Rheinland-Pfalz;49.1898118425,7.76505189995
Lengerich;49525;Nordrhein-Westfalen;52.172206737,7.83128830559
Bollschweil;79283;Baden-Württemberg;47.9138924967,7.81939813156
Norheim u.a.;55585;Rheinland-Pfalz;49.7740538358,7.83515396643
Singhofen;56379;Rheinland-Pfalz;50.2798412622,7.83342297753
Schwanebeck, Gröningen, Kroppenstedt;39397;Sachsen-Anhalt;51.9504512738,11.2232318728
Heideck;91180;Bayern;49.1305594805,11.1215660058
Quedlinburg, Ballenstedt;06485;Sachsen-Anhalt;51.7055940426,11.115496987
Harsleben;38829;Sachsen-Anhalt;51.8609866339,11.1019873392
Schwaigen;82445;Bayern;47.6229479834,11.1234263914
Stadelhofen;96187;Bayern;49.9900561075,11.1755913172
Rockhausen, Klettbach;99102;Thüringen;50.9111676327,11.1443737869
Mammendorf;82291;Bayern;48.2075590062,11.1611193515
Kranichfeld u.a.;99448;Thüringen;50.8497618541,11.1915025924
Pretzfeld;91362;Bayern;49.7422402118,11.2013712902
Barnekow, Gägelow u.a.;23968;Mecklenburg-Vorpommern;53.8996012903,11.3392236045
Jachenau;83676;Bayern;47.5959857524,11.4293931601
Altdorf bei Nürnberg;90518;Bayern;49.3935127162,11.3813102343
Berg;82335;Bayern;47.9594910726,11.3731469208
Gröbenzell;82194;Bayern;48.1935753035,11.3753354994
Adelebsen;37139;Niedersachsen;51.5682934357,9.74916608954
Fichtenberg;74427;Baden-Württemberg;48.9854239499,9.71200503456
Böel;24401;Schleswig-Holstein;54.647298489,9.70176243935
